#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Feb 17 17:42:22 2023

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       gbase_top_map.ncd
#OUTPUT FILE:      gbase_top_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -2
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AH30,amc_port_n[4][7],IOB,IO_L18N_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH31,,,VCCO_17,,,17,,,,,any******,,,,
AH32,amc_port_n[5][5],IOB,IO_L14N_VREF_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH33,amc_port_n[5][4],IOB,IO_L12N_VRP_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH34,amc_port_p[5][3],IOB,IO_L10P_CC_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AJ2,,OPAD,MGTTXP1_118,UNUSED,,,,,,,,,,,
AJ3,,,MGTAVTTTX_118,,,,,,,,,,,,
AJ4,,,MGTAVCC_122,,,,,,,,,,,,
AJ5,,,GND,,,,,,,,,,,,
AJ6,,IOBS,IO_L16N_18,UNUSED,,18,,,,,,,,,
AJ7,,IOBM,IO_L16P_18,UNUSED,,18,,,,,,,,,
AJ8,,,VCCO_22,,,22,,,,,2.50,,,,
AJ9,,IOBM,IO_L15P_22,UNUSED,,22,,,,,,,,,
AJ10,,IOBS,IO_L15N_22,UNUSED,,22,,,,,,,,,
AJ11,,IOBS,IO_L11N_CC_22,UNUSED,,22,,,,,,,,,
AJ12,vud[28],IOB,IO_L1N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ13,,,GND,,,,,,,,,,,,
AJ14,vud[22],IOB,IO_L5P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ15,vud[27],IOB,IO_L9N_CC_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ16,vud[24],IOB,IO_L9P_CC_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ17,vud[26],IOB,IO_L12N_VRP_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ18,,,VCCO_6,,,6,,,,,3.30,,,,
AJ19,vud[14],IOB,IO_L15P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ20,vuclk,IOB,IO_L8N_CC_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ21,vud[11],IOB,IO_L8P_CC_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ22,vud[13],IOB,IO_L2N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ23,,,GND,,,,,,,,,,,,
AJ24,vud[9],IOB,IO_L0N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AJ25,,IOBM,IO_L12P_VRN_21,UNUSED,,21,,,,,,,,,
AJ26,,IOBS,IO_L11N_CC_21,UNUSED,,21,,,,,,,,,
AJ27,vlff,IOB,IO_L8N_CC_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AJ28,,,VCCO_21,,,21,,,,,3.30,,,,
AJ29,,IOBS,IO_L9N_CC_21,UNUSED,,21,,,,,,,,,
AJ30,amc_port_p[4][7],IOB,IO_L18P_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AJ31,amc_port_p[4][9],IOB,IO_L16P_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AJ32,amc_port_p[4][8],IOB,IO_L15P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AJ33,,,GND,,,,,,,,,,,,
AJ34,amc_port_n[5][3],IOB,IO_L10N_CC_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AK2,,OPAD,MGTTXP0_122,UNUSED,,,,,,,,,,,
AK3,,,MGTAVTTTX_122,,,,,,,,,,,,
AK4,,,GND,,,,,,,,,,,,
AK5,,,MGTAVCC_122,,,,,,,,,,,,
AK6,,IOBS,IO_L18N_18,UNUSED,,18,,,,,,,,,
AK7,,IOBM,IO_L18P_18,UNUSED,,18,,,,,,,,,
AK8,,IOBM,IO_L13P_22,UNUSED,,22,,,,,,,,,
AK9,,IOBS,IO_L13N_22,UNUSED,,22,,,,,,,,,
AK10,,,GND,,,,,,,,,,,,
AK11,,IOBM,IO_L11P_CC_22,UNUSED,,22,,,,,,,,,
AK12,vud[25],IOB,IO_L1P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK13,vud[18],IOB,IO_L3N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK14,vud[21],IOB,IO_L5N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK15,,,VCCO_6,,,6,,,,,3.30,,,,
AK16,vud[19],IOB,IO_L10P_CC_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK17,vud[30],IOB,IO_L12P_VRN_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK18,vud[29],IOB,IO_L14P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK19,vud[10],IOB,IO_L15N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK20,,,GND,,,,,,,,,,,,
AK21,vud[6],IOB,IO_L11N_CC_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK22,vud[7],IOB,IO_L6N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK23,vud[5],IOB,IO_L6P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK24,vud[3],IOB,IO_L4P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AK25,,,VCCO_25,,,25,,,,,2.50,,,,
AK26,vxs_sda,IOB,IO_L8P_CC_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AK27,vxs_scl,IOB,IO_L10N_CC_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,NO,NONE,
AK28,gp[2],IOB,IO_L10P_CC_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,YES,NONE,
AK29,,IOBM,IO_L9P_CC_21,UNUSED,,21,,,,,,,,,
AK30,,,GND,,,,,,,,,,,,
AK31,amc_port_n[4][9],IOB,IO_L16N_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AK32,amc_port_n[4][8],IOB,IO_L15N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AK33,amc_port_n[5][2],IOB,IO_L13N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AK34,amc_port_p[5][2],IOB,IO_L13P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AL1,,IPAD,MGTRXP0_122,UNUSED,,,,,,,,,,,
AL2,,OPAD,MGTTXN0_122,UNUSED,,,,,,,,,,,
AL3,,,MGTAVTTRX_122,,,,,,,,,,,,
AL4,,IPAD,MGTREFCLKN_122,UNUSED,,,,,,,,,,,
AL5,,IPAD,MGTREFCLKP_122,UNUSED,,,,,,,,,,,
AL6,,,GND,,,,,,,,,,,,
AL7,,IPAD,MGTREFCLKP_126,UNUSED,,,,,,,,,,,
AL8,,,MGTAVCC_126,,,,,,,,,,,,
AL9,,,GND,,,,,,,,,,,,
AL10,,IOBS,IO_L8N_CC_22,UNUSED,,22,,,,,,,,,
AL11,,IOBM,IO_L8P_CC_22,UNUSED,,22,,,,,,,,,
AL12,,,VCCO_4,,,4,,,,,any******,,,,
AL13,vud[16],IOB,IO_L3P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AL14,vud[20],IOB,IO_L7N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AL15,vud[17],IOB,IO_L7P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AL16,vud[31],IOB,IO_L10N_CC_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AL17,,,GND,,,,,,,,,,,,
AL18,vud[15],IOB,IO_L14N_VREF_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AL19,vud[12],IOB,IO_L13P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AL20,vud[8],IOB,IO_L13N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AL21,vud[4],IOB,IO_L11P_CC_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AL22,,,VCCO_25,,,25,,,,,2.50,,,,
AL23,vud[1],IOB,IO_L4N_VREF_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AL24,,IOBS,IO_L11N_CC_25,UNUSED,,25,,,,,,,,,
AL25,,IOBM,IO_L11P_CC_25,UNUSED,,25,,,,,,,,,
AL26,,IOBS,IO_L9N_CC_25,UNUSED,,25,,,,,,,,,
AL27,,,GND,,,,,,,,,,,,
AL28,,IOBS,IO_L4N_VREF_25,UNUSED,,25,,,,,,,,,
AL29,amc_port_p[4][10],IOB,IO_L0P_25,INPUT,LVDS_25,25,,,,NONE,,LOCATED,NO,DIFF_TERM,
AL30,amc_port_n[4][10],IOB,IO_L0N_25,INPUT,LVDS_25,25,,,,NONE,,LOCATED,NO,DIFF_TERM,
AL31,vxs_a_n[4],IOB,IO_L1N_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AL32,,,VCCO_21,,,21,,,,,3.30,,,,
AL33,amc_port_n[5][1],IOB,IO_L16N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AL34,amc_port_p[5][1],IOB,IO_L16P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AM1,,IPAD,MGTRXN0_122,UNUSED,,,,,,,,,,,
AM2,,,GND,,,,,,,,,,,,
AM3,,,MGTAVTTTX_122,,,,,,,,,,,,
AM4,,,MGTAVCCPLL_122,,,,,,,,,,,,
AM5,,,MGTAVTTTX_126,,,,,,,,,,,,
AM6,,,MGTAVTTRX_126,,,,,,,,,,,,
AM7,,IPAD,MGTREFCLKN_126,UNUSED,,,,,,,,,,,
AM8,,,MGTAVCC_126,,,,,,,,,,,,
AM9,,,MGTAVCCPLL_126,,,,,,,,,,,,
AM10,,,MGTAVTTTX_126,,,,,,,,,,,,
AM11,,IOBS,IO_L6N_22,UNUSED,,22,,,,,,,,,
AM12,,IOBM,IO_L6P_22,UNUSED,,22,,,,,,,,,
AM13,,IOBS,IO_L2N_22,UNUSED,,22,,,,,,,,,
AM14,,,GND,,,,,,,,,,,,
AM15,vud[23],IOB,IO_L16P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AM16,vureset,IOB,IO_L16N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AM17,vuwen,IOB,IO_L19P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AM18,,IOBS,IO_L17N_25,UNUSED,,25,,,,,,,,,
AM19,,,VCCO_2,,,2,,,,,3.30,,,,
AM20,,IOBS,IO_L13N_25,UNUSED,,25,,,,,,,,,
AM21,,IOBM,IO_L13P_25,UNUSED,,25,,,,,,,,,
AM22,,IOBS,IO_L16N_25,UNUSED,,25,,,,,,,,,
AM23,,IOBS,IO_L14N_VREF_25,UNUSED,,25,,,,,,,,,
AM24,,,GND,,,,,,,,,,,,
AM25,,IOBS,IO_L8N_CC_25,UNUSED,,25,,,,,,,,,
AM26,,IOBM,IO_L9P_CC_25,UNUSED,,25,,,,,,,,,
AM27,,IOBM,IO_L4P_25,UNUSED,,25,,,,,,,,,
AM28,,IOBS,IO_L7N_25,UNUSED,,25,,,,,,,,,
AM29,,,VCCO_21,,,21,,,,,3.30,,,,
AM30,amc_port_n[4][11],IOB,IO_L2N_25,INPUT,LVDS_25,25,,,,NONE,,LOCATED,NO,DIFF_TERM,
AM31,vxs_a_p[4],IOB,IO_L1P_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AM32,amc_port_n[5][0],IOB,IO_L17N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AM33,amc_port_p[5][0],IOB,IO_L17P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AM34,,,GND,,,,,,,,,,,,
AN1,,,GND,,,,,,,,,,,,
AN2,,,GND,,,,,,,,,,,,
AN3,,OPAD,MGTTXN1_122,UNUSED,,,,,,,,,,,
AN4,,OPAD,MGTTXP1_122,UNUSED,,,,,,,,,,,
AN5,,OPAD,MGTTXP0_126,UNUSED,,,,,,,,,,,
AN6,,OPAD,MGTTXN0_126,UNUSED,,,,,,,,,,,
AN7,,,GND,,,,,,,,,,,,
AN8,,,GND,,,,,,,,,,,,
AN9,,OPAD,MGTTXN1_126,UNUSED,,,,,,,,,,,
AN10,,OPAD,MGTTXP1_126,UNUSED,,,,,,,,,,,
AN11,,,GND,,,,,,,,,,,,
AN12,,IOBS,IO_L4N_VREF_22,UNUSED,,22,,,,,,,,,
AN13,,IOBM,IO_L2P_22,UNUSED,,22,,,,,,,,,
AN14,,IOBM,IO_L0P_22,UNUSED,,22,,,,,,,,,
AN15,vudw[1],IOB,IO_L18P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AN16,,,VCCO_6,,,6,,,,,3.30,,,,
AN17,vldown,IOB,IO_L19N_6,INPUT,LVTTL,6,,,,NONE,,LOCATED,NO,NONE,
AN18,,IOBM,IO_L17P_25,UNUSED,,25,,,,,,,,,
AN19,,IOBM,IO_L19P_25,UNUSED,,25,,,,,,,,,
AN20,,IOBM,IO_L15P_25,UNUSED,,25,,,,,,,,,
AN21,,,GND,,,,,,,,,,,,
AN22,,IOBM,IO_L16P_25,UNUSED,,25,,,,,,,,,
AN23,,IOBM,IO_L14P_25,UNUSED,,25,,,,,,,,,
AN24,,IOBM,IO_L12P_VRN_25,UNUSED,,25,,,,,,,,,
AN25,,IOBM,IO_L8P_CC_25,UNUSED,,25,,,,,,,,,
AN26,,,VCCO_25,,,25,,,,,2.50,,,,
AN27,vxs_a_n[2],IOB,IO_L6N_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AN28,,IOBM,IO_L7P_25,UNUSED,,25,,,,,,,,,
AN29,vxs_a_n[1],IOB,IO_L5N_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AN30,amc_port_p[4][11],IOB,IO_L2P_25,INPUT,LVDS_25,25,,,,NONE,,LOCATED,NO,DIFF_TERM,
AN31,,,GND,,,,,,,,,,,,
AN32,,IOBM,IO_L19P_13,UNUSED,,13,,,,,,,,,
AN33,,IOBS,IO_L18N_13,UNUSED,,13,,,,,,,,,
AN34,,IOBM,IO_L18P_13,UNUSED,,13,,,,,,,,,
AP2,,IPAD,MGTRXN1_122,UNUSED,,,,,,,,,,,
AP3,,IPAD,MGTRXP1_122,UNUSED,,,,,,,,,,,
AP6,,IPAD,MGTRXP0_126,UNUSED,,,,,,,,,,,
AP7,,IPAD,MGTRXN0_126,UNUSED,,,,,,,,,,,
AP8,,IPAD,MGTRXN1_126,UNUSED,,,,,,,,,,,
AP9,,IPAD,MGTRXP1_126,UNUSED,,,,,,,,,,,
AP11,,,GND,,,,,,,,,,,,
AP12,,IOBM,IO_L4P_22,UNUSED,,22,,,,,,,,,
AP13,,,GND,,,,,,,,,,,,
AP14,,IOBS,IO_L0N_22,UNUSED,,22,,,,,,,,,
AP15,vuctrl,IOB,IO_L18N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AP16,vutest,IOB,IO_L17P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AP17,vudw[0],IOB,IO_L17N_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AP18,,,GND,,,,,,,,,,,,
AP19,,IOBS,IO_L19N_25,UNUSED,,25,,,,,,,,,
AP20,,IOBS,IO_L15N_25,UNUSED,,25,,,,,,,,,
AP21,,IOBS,IO_L18N_25,UNUSED,,25,,,,,,,,,
AP22,,IOBM,IO_L18P_25,UNUSED,,25,,,,,,,,,
AP23,,,GND,,,,,,,,,,,,
AP24,,IOBS,IO_L12N_VRP_25,UNUSED,,25,,,,,,,,,
AP25,vxs_a_n[3],IOB,IO_L10N_CC_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AP26,vxs_a_p[3],IOB,IO_L10P_CC_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AP27,vxs_a_p[2],IOB,IO_L6P_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AP28,,,GND,,,,,,,,,,,,
AP29,vxs_a_p[1],IOB,IO_L5P_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AP30,vxs_a_p[0],IOB,IO_L3P_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AP31,vxs_a_n[0],IOB,IO_L3N_25,TRISTATE,BLVDS_25,25,,,,,,LOCATED,YES,NONE,
AP32,,IOBS,IO_L19N_13,UNUSED,,13,,,,,,,,,
AP33,,,GND,,,,,,,,,,,,
B1,,,GND,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,,OPAD,MGTTXN0_120,UNUSED,,,,,,,,,,,
B4,,OPAD,MGTTXP0_120,UNUSED,,,,,,,,,,,
B5,,OPAD,MGTTXP1_124,UNUSED,,,,,,,,,,,
B6,,OPAD,MGTTXN1_124,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,,GND,,,,,,,,,,,,
B9,,OPAD,MGTTXN0_124,UNUSED,,,,,,,,,,,
B10,,OPAD,MGTTXP0_124,UNUSED,,,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,,IOBS,IO_L8N_CC_20,UNUSED,,20,,,,,,,,,
B13,,IOBM,IO_L11P_CC_20,UNUSED,,20,,,,,,,,,
B14,,,GND,,,,,,,,,,,,
B15,,IOBS,IO_L0N_5,UNUSED,,5,,,,,,,,,
B16,,IOBM,IO_L0P_5,UNUSED,,5,,,,,,,,,
B17,,IOBM,IO_L2P_5,UNUSED,,5,,,,,,,,,
B18,,IOBM,IO_L4P_23,UNUSED,,23,,,,,,,,,
B19,,,VCCO_5,,,5,,,,,any******,,,,
B20,,IOBS,IO_L0N_23,UNUSED,,23,,,,,,,,,
B21,,IOBM,IO_L1P_23,UNUSED,,23,,,,,,,,,
B22,arwen_prog_out_n,IOBS,IO_L3N_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
B23,,IOBS,IO_L5N_23,UNUSED,,23,,,,,,,,,
B24,,,GND,,,,,,,,,,,,
B25,arwen_data_b_p[10],IOBM,IO_L11P_CC_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
B26,arwen_data_b_p[8],IOBM,IO_L9P_CC_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
B27,arwen_data_b_p[13],IOBM,IO_L10P_CC_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
B28,arwen_data_b_n[9],IOBS,IO_L12N_VRP_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
B29,,,GND,,,,,,,,,,,,
B30,amc_port_n[1][7],IOB,IO_L19N_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
B31,amc_port_p[1][6],IOB,IO_L16P_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
B32,,IOBM,IO_L0P_11,UNUSED,,11,,,,,,,,,
B33,,IOBM,IO_L1P_11,UNUSED,,11,,,,,,,,,
B34,,,GND,,,,,,,,,,,,
C1,,IPAD,MGTRXN1_120,UNUSED,,,,,,,,,,,
C2,,,GND,,,,,,,,,,,,
C3,,,MGTAVTTRX_120,,,,,,,,,,,,
C4,,,MGTAVTTTX_120,,,,,,,,,,,,
C5,,,MGTAVTTTX_124,,,,,,,,,,,,
C6,,,MGTAVCCPLL_124,,,,,,,,,,,,
C7,,,MGTAVCC_124,,,,,,,,,,,,
C8,,IPAD,MGTREFCLKN_124,UNUSED,,,,,,,,,,,
C9,,,MGTAVTTRX_124,,,,,,,,,,,,
C10,,,MGTAVTTTX_124,,,,,,,,,,,,
C11,,,GND,,,,,,,,,,,,
C12,,IOBS,IO_L6N_20,UNUSED,,20,,,,,,,,,
C13,,IOBS,IO_L11N_CC_20,UNUSED,,20,,,,,,,,,
C14,,IOBM,IO_L3P_5,UNUSED,,5,,,,,,,,,
C15,,IOBS,IO_L3N_5,UNUSED,,5,,,,,,,,,
C16,,,VCCO_5,,,5,,,,,any******,,,,
C17,,IOBM,IO_L5P_5,UNUSED,,5,,,,,,,,,
C18,,IOBS,IO_L2N_23,UNUSED,,23,,,,,,,,,
C19,,IOBM,IO_L2P_23,UNUSED,,23,,,,,,,,,
C20,,IOBM,IO_L0P_23,UNUSED,,23,,,,,,,,,
C21,,,GND,,,,,,,,,,,,
C22,arwen_prog_out_p,IOBM,IO_L3P_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
C23,,IOBM,IO_L5P_23,UNUSED,,23,,,,,,,,,
C24,arwen_data_b_p[12],IOBM,IO_L8P_CC_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
C25,arwen_data_b_n[10],IOBS,IO_L11N_CC_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
C26,,,VCCO_23,,,23,,,,,2.50,,,,
C27,arwen_data_b_n[15],IOBS,IO_L13N_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
C28,amc_port_p[1][8],IOB,IO_L15P_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
C29,arwen_data_b_p[9],IOBM,IO_L12P_VRN_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
C30,amc_port_p[1][5],IOB,IO_L17P_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
C31,,,GND,,,,,,,,,,,,
C32,amc_port_p[0][0],IOB,IO_L2P_11,INPUT,LVDS_25,11,,,,NONE,,LOCATED,NO,DIFF_TERM,
C33,,IOBS,IO_L1N_11,UNUSED,,11,,,,,,,,,
C34,amc_port_p[0][1],IOB,IO_L3P_11,INPUT,LVDS_25,11,,,,NONE,,LOCATED,NO,DIFF_TERM,
D1,,IPAD,MGTRXP1_120,UNUSED,,,,,,,,,,,
D2,,OPAD,MGTTXN1_120,UNUSED,,,,,,,,,,,
D3,,,MGTAVCCPLL_120,,,,,,,,,,,,
D4,,IPAD,MGTREFCLKN_120,UNUSED,,,,,,,,,,,
D5,,,MGTAVCC_120,,,,,,,,,,,,
D6,,,GND,,,,,,,,,,,,
D7,,,MGTAVCC_124,,,,,,,,,,,,
D8,,IPAD,MGTREFCLKP_124,UNUSED,,,,,,,,,,,
D9,,,GND,,,,,,,,,,,,
D10,,IOBS,IO_L4N_VREF_20,UNUSED,,20,,,,,,,,,
D11,,IOBM,IO_L4P_20,UNUSED,,20,,,,,,,,,
D12,,IOBM,IO_L6P_20,UNUSED,,20,,,,,,,,,
D13,,,VCCO_1,,,1,,,,,3.30,,,,
D14,,IOBM,IO_L9P_CC_5,UNUSED,,5,,,,,,,,,
D15,,IOBS,IO_L7N_5,UNUSED,,5,,,,,,,,,
D16,,IOBM,IO_L7P_5,UNUSED,,5,,,,,,,,,
D17,,IOBS,IO_L5N_5,UNUSED,,5,,,,,,,,,
D18,,,GND,,,,,,,,,,,,
D19,arwen_data_a_n[1],IOB,IO_L12N_VRP_5,INPUT,LVDS_25,5,,,,NONE,,LOCATED,NO,DIFF_TERM,
D20,,IOBS,IO_L6N_5,UNUSED,,5,,,,,,,,,
D21,,IOBM,IO_L13P_5,UNUSED,,5,,,,,,,,,
D22,,IOBS,IO_L13N_5,UNUSED,,5,,,,,,,,,
D23,,,VCCO_3,,,3,,,,,2.50,,,,
D24,amc_port_p[1][10],IOB,IO_L17P_5,INPUT,LVDS_25,5,,,,NONE,,LOCATED,NO,DIFF_TERM,
D25,arwen_data_b_n[12],IOBS,IO_L8N_CC_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
D26,arwen_data_b_p[15],IOBM,IO_L13P_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
D27,amc_port_n[1][8],IOB,IO_L15N_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
D28,,,GND,,,,,,,,,,,,
D29,amc_port_n[1][5],IOB,IO_L17N_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
D30,amc_port_n[1][4],IOB,IO_L18N_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
D31,amc_port_p[1][4],IOB,IO_L18P_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
D32,amc_port_n[0][0],IOB,IO_L2N_11,INPUT,LVDS_25,11,,,,NONE,,LOCATED,NO,DIFF_TERM,
D33,,,GND,,,,,,,,,,,,
D34,amc_port_n[0][1],IOB,IO_L3N_11,INPUT,LVDS_25,11,,,,NONE,,LOCATED,NO,DIFF_TERM,
E2,,OPAD,MGTTXP1_120,UNUSED,,,,,,,,,,,
E3,,,MGTAVTTTX_120,,,,,,,,,,,,
E4,,IPAD,MGTREFCLKP_120,UNUSED,,,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,arwen_data_b_p[4],IOBM,IO_L19P_12,OUTPUT,LVDS_25,12,,,,,,LOCATED,NO,NONE,
E7,arwen_data_b_n[4],IOBS,IO_L19N_12,OUTPUT,LVDS_25,12,,,,,,LOCATED,NO,NONE,
E8,,IOBS,IO_L0N_20,UNUSED,,20,,,,,,,,,
E9,,IOBM,IO_L0P_20,UNUSED,,20,,,,,,,,,
E10,,,VCCO_20,,,20,,,,,2.50,,,,
E11,,IOBS,IO_L15N_20,UNUSED,,20,,,,,,,,,
E12,,IOBM,IO_L17P_20,UNUSED,,20,,,,,,,,,
E13,,IOBS,IO_L17N_20,UNUSED,,20,,,,,,,,,
E14,,IOBS,IO_L9N_CC_5,UNUSED,,5,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,arwen_data_a_n[3],IOB,IO_L10N_CC_5,INPUT,LVDS_25,5,,,,NONE,,LOCATED,NO,DIFF_TERM,
